#PASSAGE	REFQ	GENQ	FLUENCY	RELEVANT	ANSWERABLE	SIMILAR
neoclassical economics views inequalities in the distribution of income as arising from differences in value added by labor , capital and land . within labor income distribution is due to differences in value added by different classifications of workers . in this perspective , wages and profits are determined by the marginal value added of each economic actor ( worker , capitalist/business owner , landlord ) . thus , in a market economy , inequality is a reflection of the  productivity gap   between highly-paid professions and lower-paid professions .	what is the term that describes the difference between what higher paid and lower paid professionals earn ?	in a market economy , inequality is a reflection of what ?	1.0	1.0	1.0	0.5
in 1226 , immediately after returning from the west , genghis khan began a retaliatory attack on the tanguts . his armies quickly took heisui , ganzhou , and suzhou ( not the suzhou in jiangsu province ) , and in the autumn he took xiliang-fu [ disambiguation needed ] . one of the tangut generals challenged the mongols to a battle near helan mountains but was defeated . in november , genghis laid siege to the tangut city lingzhou and crossed  the yellow river   , defeating the tangut relief army . according to legend , it was here that genghis khan reportedly saw a line of five stars arranged in the sky and interpreted it as an omen of his victory .	what river did genghis khan cross before defeating the main tangut army ?	what river did genghis cross to defeat the tangut relief army ?	1.0	1.0	1.0	1.0
private schooling in the united states has been debated by educators , lawmakers and parents , since the beginnings of compulsory education in  massachusetts   in 1852. the supreme court precedent appears to favor educational choice , so long as states may set standards for educational accomplishment . some of the most relevant supreme court case law on this is as follows : runyon v. mccrary , 427 u.s. 160 ( 1976 ) ; wisconsin v. yoder , 406 u.s. 205 ( 1972 ) ; pierce v. society of sisters , 268 u.s. 510 ( 1925 ) ; meyer v. nebraska , 262 u.s. 390 ( 1923 ) .	what was the first us state to have compulsory education ?	in what state did compulsory education begin in 1852 ?	1.0	1.0	1.0	0.16666666666666666
the image of the tardis has become firmly linked to the show in the public 's consciousness ; bbc scriptwriter anthony coburn , who lived in the resort of herne bay , kent , was one of the people who conceived the idea of a police box as a  time machine   . in 1996 , the bbc applied for a trade mark to use the tardis ' blue police box design in merchandising associated with doctor who . in 1998 , the metropolitan police authority filed an objection to the trade mark claim ; but in 2002 , the patent office ruled in favour of the bbc .	what is the function of the tardis ?	what did coburn think of the police box as ?	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.16666666666666666
the main gallery was redesigned in 1994 , the glass balustrade on the staircase and mezzanine are the work of danny lane , the gallery covering contemporary glass opened in 2004 and the sacred silver and stained-glass gallery in 2005. in this latter gallery stained glass is displayed alongside silverware starting in the 12th century and continuing to the present . some of the most outstanding stained glass , dated 1243–48 comes from the sainte-chapelle , is displayed along with other examples in the new medieval & renaissance galleries . the important  13th-century   glass beaker known as the luck of edenhall is also displayed in these galleries . examples of british stained glass are displayed in the british galleries . one of the most spectacular items in the collection is the chandelier by dale chihuly in the rotunda at the museum 's main entrance .	to which century is the glass beaker called luck of edenhall dated ?	when was the luck of edenhall created ?	1.0	1.0	1.0	0.5
stage 3 is the  final   stage of the bill and is considered at a meeting of the whole parliament . this stage comprises two parts : consideration of amendments to the bill as a general debate , and a  final   vote on the bill . opposition members can table " wrecking amendments " to the bill , designed to thwart further progress and take up parliamentary time , to cause the bill to fall without a  final   vote being taken . after a general debate on the  final   form of the bill , members proceed to vote at decision time on whether they agree to the general principles of the  final   bill .	what vote on a bill takes place in stage 3 ?	what stage of the bill is considered at a meeting of the whole parliament ?	1.0	1.0	1.0	0.16666666666666666
the rhine emerges from lake constance , flows generally westward , as the hochrhein , passes the rhine falls , and is joined by its major tributary , the river aare . the aare more than doubles the rhine 's water discharge , to an average of nearly 1,000 m3/s ( 35,000 cu ft/s ) , and provides more than a fifth of the discharge at the dutch border . the aare also contains the waters from the 4,274 m ( 14,022 ft ) summit of finsteraarhorn , the highest point of the rhine basin . the rhine roughly forms the  german-swiss   border from lake constance with the exceptions of the canton of schaffhausen and parts of the cantons of zürich and basel-stadt , until it turns north at the so-called rhine knee at basel , leaving switzerland .	there 's a rough border between switzerland and what other country formed by the rhine ?	what border does the rhine form from lake constance ?	1.0	1.0	1.0	0.5
news of the two battles reached england in august . after several months of negotiations , the government of the duke of newcastle decided to send an army expedition the following year to dislodge the french . they chose major general edward braddock to lead the expedition . word of the british military  plans leaked to france well before braddock 's departure   for north america . in response , king louis xv dispatched six regiments to new france under the command of baron dieskau in 1755. the british , intending to blockade french ports , sent out their fleet in february 1755 , but the french fleet had already sailed . admiral edward hawke detached a fast squadron to north america in an attempt to intercept the french .	when did french learn about braddock 's plans ?	how did word of the british military plans get to france ?	1.0	1.0	0.3333333333333333	0.16666666666666666
he came to power by uniting many of the nomadic tribes of northeast asia . after founding the mongol empire and being proclaimed " genghis khan " , he started the mongol invasions that resulted in the conquest of most of eurasia . these included raids or invasions of the qara khitai , caucasus , khwarezmid empire , western xia and jin dynasties . these campaigns were often accompanied by wholesale massacres of the civilian populations – especially in the khwarezmian and xia controlled lands . by the end of his life , the mongol empire occupied  a substantial portion of central asia and china   .	what areas did genghis khan control at the end of his life ?	what did the mongol empire occupy by the end of his life ?	0.5	0.6666666666666666	1.0	0.6666666666666666
in sweden , pupils are free to choose a private school and the private school gets paid the same amount as municipal schools . over 10 % of swedish pupils were enrolled in private schools in 2008. sweden is internationally known for this innovative school voucher model that provides swedish pupils with the opportunity to choose the school they prefer . for instance , the biggest school chain , kunskapsskolan ( “  the knowledge school   ” ) , offers 30 schools and a web-based environment , has 700 employees and teaches nearly 10,000 pupils . the swedish system has been recommended to barack obama .	what is the english translation of kunskapsskolan ?	what does kunskapsskolan mean ?	1.0	1.0	1.0	0.8333333333333334
the yuan undertook extensive public works . among kublai khan 's top engineers and scientists was the astronomer guo shoujing , who was tasked with many public works projects and helped the yuan reform the lunisolar calendar to provide an accuracy of 365.2425 days of the year , which was only 26 seconds off the modern gregorian calendar 's measurement . road and water communications were reorganized and improved . to provide against possible famines ,  granaries were ordered built throughout the empire   . the city of beijing was rebuilt with new palace grounds that included artificial lakes , hills and mountains , and parks . during the yuan period , beijing became the terminus of the grand canal of china , which was completely renovated . these commercially oriented improvements encouraged overland and maritime commerce throughout asia and facilitated direct chinese contacts with europe . chinese travelers to the west were able to provide assistance in such areas as hydraulic engineering . contacts with the west also brought the introduction to china of a major food crop , sorghum , along with other foreign food products and methods of preparation .	what did kublai do to prevent famines ?	what was done to prevent famine ?	1.0	1.0	1.0	0.5
for the next several years , hoelun and her children lived in poverty , surviving primarily on wild fruits and ox carcasses , marmots , and other small game killed by temüjin and his brothers .  begter   , temujin 's older half-brother , began to exercise the power of the eldest male in the family and eventually temujin 's mother hoelun ( not  begter   's mother ) would have to accept him as her husband if and when he became an adult . temujin 's resentment erupted during one hunting excursion that temüjin and his brother khasar killed their half-brother  begter   .	which of temüjin 's brothers took up the role of male leader of the family ?	who was temujin ' s older half - brother ?	1.0	1.0	1.0	0.16666666666666666
until the early 1980s , industry was a major source of water pollution . although many plants and factories can be found along the rhine up into  switzerland   , it is along the lower rhine that the bulk of them are concentrated , as the river passes the major cities of cologne , düsseldorf and duisburg . duisburg is the home of europe 's largest inland port and functions as a hub to the sea ports of rotterdam , antwerp and amsterdam . the ruhr , which joins the rhine in duisburg , is nowadays a clean river , thanks to a combination of stricter environmental controls , a transition from heavy industry to light industry and cleanup measures , such as the reforestation of slag and brownfields . the ruhr currently provides the region with drinking water . it contributes 70 m3/s ( 2,500 cu ft/s ) to the rhine . other rivers in the ruhr area , above all , the emscher , still carry a considerable degree of pollution .	what country has the most factories that pollute the rhine ?	plants and factories can be found along the rhine up to what country ?	1.0	1.0	1.0	0.0
the smaller the economic inequality , the more waste and pollution is created , resulting in many cases , in more  environmental degradation   . this can be explained by the fact that as the poor people in the society become more wealthy , it increases their yearly carbon emissions . this relation is expressed by the environmental kuznets curve ( ekc ) . [ not in citation given ] it should be noted here however that in certain cases , with great economic inequality , there is nonetheless not more waste and pollution created as the waste/pollution is cleaned up better afterwards ( water treatment , filtering , ... ) .... also note that the whole of the increase in  environmental degradation   is the result of the increase of emissions per person being multiplied by a multiplier . if there were fewer people however , this multiplier would be lower , and thus the amount of  environmental degradation   would be lower as well . as such , the current high level of population has a large impact on this as well . if ( as wwf argued ) , population levels would start to drop to a sustainable level ( 1/3 of current levels , so about 2 billion people ) , human inequality can be addressed/corrected , while still not resulting in an increase of environmental damage .	what does the current high level of population have a large impact on ?	what is the result of the increase of emissions per person multiplied by a multiplier ?	1.0	1.0	1.0	0.16666666666666666
temüjin had three brothers named hasar , hachiun , and temüge , and one sister named temülen , as well as two half-brothers named begter and belgutei . like many of the nomads of mongolia , temüjin 's early life was difficult . his father arranged a marriage for him , and at nine years of age he was delivered by his father to the family of his future wife börte , who was a member of the tribe  khongirad   . temüjin was to live there in service to dai setsen , the head of the new household , until he reached the marriageable age of 12 .	which tribe did temüjin move in with at nine years of age ?	what tribe was borte a member of ?	1.0	1.0	1.0	0.3333333333333333
tension forces can be modeled using ideal strings that are massless , frictionless , unbreakable , and unstretchable . they can be combined with ideal pulleys , which allow ideal strings to switch physical direction . ideal strings transmit tension forces instantaneously in action-reaction pairs so that if two objects are connected by an ideal string , any force directed along the string by the first object is accompanied by a force directed along the string in the opposite direction by the second object . by connecting the same string multiple times to the same object through the use of a set-up that uses movable pulleys , the tension force on a load can be multiplied . for every string that acts on a load , another factor of the tension force in the string acts on the load . however , even though such machines allow for an increase in force , there is a corresponding increase in the length of string that must be displaced in order to move the load . these tandem effects result ultimately in the  conservation of mechanical energy   since the work done on the load is the same no matter how complicated the machine .	what is the final effect of adding more and more idea strings to a load ?	what does the tandem effects result in ?	0.8333333333333334	1.0	1.0	0.5
major roads in the area include the a1 ( gateshead newcastle western bypass ) , stretching north to edinburgh and south to london ; the a19 heading south past sunderland and middlesbrough to york and doncaster ; the a69 heading west to carlisle ; the a696 , which becomes the a68 heads past newcastle airport and up through central northumberland and central scottish borders , the a167 , the old " great north road " , heading south to gateshead , chester-le-street , durham and darlington ; and the a1058 " coast road " , which runs from jesmond to the east coast between tynemouth and cullercoats . many of these designations are recent—upon completion of the western bypass , and its designation as the new line of the a1 ,  the roads   between this and the a1 's former alignment through the tyne tunnel were renumbered , with many city centre roads changing from a 6-prefix to their present 1-prefix numbers . in november 2011 the capacity of the tyne tunnel was increased when a project to build a second road tunnel and refurbish the first tunnel was completed .	what was renumbered in newcastle upon completion of the western bypass ?	what was renumbered as a result of completion of the western bypass ?	1.0	1.0	1.0	0.8333333333333334
in may 2013 , abc launched " watch abc " , a revamp of its traditional multi-platform streaming services encompassing the network 's existing streaming portal at abc.com and a mobile app for smartphones and tablet computers ; in addition to providing full-length episodes of abc programs , the service allows live programming streams of local abc affiliates in select markets ( the first such offering by a u.s. broadcast network ) . similar to sister network espn 's  watchespn   service ( which originated the " watch " brand used by the streaming services of disney 's television networks ) , live streams of abc stations are only available to authenticated subscribers of participating pay television providers in certain markets . new york city o & o wabc-tv and philadelphia o & o wpvi-tv were the first stations to offer streams of their programming on the service ( with a free preview for non-subscribers through june 2013 ) , with the six remaining abc o & os offering streams by the start of the 2013–14 season . hearst television also reached a deal to offer streams of its abc affiliates ( including stations in boston , kansas city , milwaukee and west palm beach ) on the service .	what is the name of espn 's streaming service that is analogous to watch abc ?	what is the name of espn ' s streaming service ?	1.0	1.0	1.0	0.6666666666666666
mean monthly temperatures range from around 53 f in january to 82 f in  july   . high temperatures average 64 to 92 °f ( 18 to 33 °c ) throughout the year . high heat indices are common for the summer months in the area , with indices above 110 °f ( 43.3 °c ) possible . the highest temperature recorded was 104 °f ( 40 °c ) on  july   11 , 1879 and  july   28 , 1872. it is common for thunderstorms to erupt during a typical summer afternoon . these are caused by the rapid heating of the land relative to the water , combined with extremely high humidity .	what is jacksonville 's hottest month on average ?	in what month do the mean monthly temperatures reach 82 f ?	1.0	1.0	1.0	0.16666666666666666
in august 1227 , during the fall of yinchuan , the capital of  western xia   , genghis khan died . the exact cause of his death remains a mystery , and is variously attributed to being killed in action against the  western xia   , illness , falling from his horse , or wounds sustained in hunting or battle . according to the secret history of the mongols genghis khan fell from his horse while hunting and died because of the injury . he was already old and tired from his journeys . the galician–volhynian chronicle alleges he was killed by the  western xia   in battle , while marco polo wrote that he died after the infection of an arrow wound he received during his final campaign . later mongol chronicles connect genghis ' death with a  western xia   princess taken as war booty . one chronicle from the early 17th century even relates the legend that the princess hid a small dagger and stabbed him , though some mongol authors have doubted this version and suspected it to be an invention by the rival oirads .	later chronicles of genghis khan 's death implicate a princess from what empire in his death ?	who did genghis khan die against ?	1.0	1.0	0.6666666666666666	0.3333333333333333
meanwhile , abc news , which formed as a newly separate division , sought to become a global leader in television news . in 1977 , roone arledge was named president of the new abc news in addition to being president of  abc sports   . that same year , abc launched a major expansion of its office facilities in new york city . the company first constructed a new 10-story building on land previously occupied by an abandoned warehouse on the corner of columbus avenue and west 66th street ; the facility that was built in its place is nicknamed " 7 lincoln square " ( although it is actually located at 149 columbus avenue ) . meanwhile , a former parking lot , located at 30 west 67th street , was transformed into an impressive 15-story building . both buildings were completed in june 1979. wabc-tv moved its operations from offices at 77 west 66th street to 149 columbus avenue , freeing up space for the abc network to house some of its operations .	besides abc news , what other division was roone arledge president of ?	roone arledge was also president of what sports network in 1977 ?	0.8333333333333334	1.0	1.0	0.6666666666666666
a revised version of the abc logo was introduced for promotions for the 2013–14 season during the network 's upfront presentation on may 14 , 2013 , and officially introduced on-air on june 17 ( although some affiliates implemented the new design prior to then ) , as part of an overhaul of abc 's identity by design agency loyalkaspar . the updated logo carries a simpler gloss design than the previous version , and contains lettering more closely resembling paul rand 's original version of the circle logo . the logo is displayed on-air , online and in print advertising in  four variants   shading the respective color used with the circle design 's native black coloring : a gold version is primarily used on entertainment-oriented outlets ( such as abc.com , watch abc , and by abc studios ) and the on-screen bug ; steel blue and dark grey versions are used primarily by abc news ; a red version is used for espn on abc , while all  four variants   are used selectively in advertising and by affiliates . a new custom typeface , " abc modern " ( which was inspired by the logotype ) , was also created for use in advertising and other promotional materials .	how many variants is the new abc logo currently displayed in ?	how many variants of the abc logo are there ?	1.0	1.0	1.0	1.0
the early united states expressed its opposition to imperialism , at least in a form distinct from its own manifest destiny , through policies such as the monroe doctrine . however , beginning in the late 19th and early 20th century , policies such as theodore roosevelt ’ s interventionism in central america and woodrow wilson ’ s mission to " make the world safe for democracy " changed all this . they were often backed by military force , but were more often affected from behind the scenes . this is consistent with the general notion of hegemony and imperium of historical empires . in 1898 , americans who opposed imperialism created the anti-imperialist league to oppose the us annexation of  the philippines   and cuba . one year later , a war erupted in  the philippines   causing business , labor and government leaders in the us to condemn america 's occupation in  the philippines   as they also denounced them for causing the deaths of many filipinos . american foreign policy was denounced as a " racket " by smedley butler , an american general . he said , " looking back on it , i might have given al capone a few hints . the best he could do was to operate his racket in three districts . i operated on three continents " .	which country besides the cuba did the united states try to annex in 1898 ?	in 1898 , a war broke out in what country ?	1.0	0.6666666666666666	0.6666666666666666	0.0
engineering news-record ( enr ) is  a trade magazine for the construction industry   . each year , enr compiles and reports on data about the size of design and construction companies . they publish a list of the largest companies in the united states ( top-40 ) and also a list the largest global firms ( top-250 , by amount of work they are doing outside their home country ) . in 2014 , enr compiled the data in nine market segments . it was divided as transportation , petroleum , buildings , power , industrial , water , manufacturing , sewer/waste , telecom , hazardous waste plus a tenth category for other projects . in their reporting on the top 400 , they used data on transportation , sewer , hazardous waste and water to rank firms as heavy contractors .	what is engineering news-record ?	what is enr ?	1.0	1.0	1.0	0.8333333333333334
only four episodes have ever had their premiere showings on channels other than bbc one . the 1983 20th anniversary special the five doctors had its début on 23 november ( the actual date of the anniversary ) on a number of pbs stations two days prior to its bbc one broadcast . the 1988 story silver nemesis was broadcast with all three episodes airing back to back on tvnz in new zealand in november , after the first episode had been shown in the uk but before the final two instalments had aired there . finally , the 1996 television film premièred on 12 may 1996 on citv in edmonton , canada ,  15 days   before the bbc one showing , and two days before it aired on fox in the united states . [ citation needed ]	how many days was the 1996 film shown ahead of the bbc showing ?	how long before the bbc one broadcast did " doctor who " premiere in canada ?	1.0	1.0	1.0	0.5
politically , the system of government created by kublai khan was the product of a compromise between mongolian  patrimonial feudalism   and the traditional chinese autocratic-bureaucratic system . nevertheless , socially the educated chinese elite were in general not given the degree of esteem that they had been accorded previously under native chinese dynasties . although the traditional chinese elite were not given their share of power , the mongols and the semuren ( various allied groups from central asia and the western end of the empire ) largely remained strangers to the mainstream chinese culture , and this dichotomy gave the yuan regime a somewhat strong " colonial " coloration . the unequal treatment is possibly due to the fear of transferring power to the ethnic chinese under their rule . the mongols and semuren were given certain advantages in the dynasty , and this would last even after the restoration of the imperial examination in the early 14th century . in general there were very few north chinese or southerners reaching the highest-post in the government compared with the possibility that persians did so in the ilkhanate . later the yongle emperor of the ming dynasty also mentioned the discrimination that existed during the yuan dynasty . in response to an objection against the use of " barbarians " in his government , the yongle emperor answered : " ... discrimination was used by the mongols during the yuan dynasty , who employed only " mongols and tartars " and discarded northern and southern chinese and this was precisely the cause that brought disaster upon them " .	what mongolian system did kublai 's government compromise with ?	what type of government was created by kublai khan ?	1.0	1.0	1.0	0.16666666666666666
jacksonville is the largest city by population in the u.s. state of florida , and the largest city by area in the contiguous united states . it is the county seat of  duval   county , with which the city government consolidated in 1968. consolidation gave jacksonville its great size and placed most of its metropolitan population within the city limits ; with an estimated population of 853,382 in 2014 , it is the most populous city proper in florida and the southeast , and the 12th most populous in the united states . jacksonville is the principal city in the jacksonville metropolitan area , with a population of 1,345,596 in 2010 .	in which county does jacksonville reside ?	what county is jacksonville the county seat of ?	1.0	1.0	1.0	0.5
in the spring of 1753 , paul marin de la malgue was given command of a 2,000-man force of troupes de la marine and indians . his orders were to protect the king 's land in the ohio valley from the british . marin followed the route that céloron had mapped out four years earlier , but where céloron had limited the record of french claims to the burial of lead plates , marin constructed and garrisoned forts . he first constructed fort presque isle ( near present-day erie , pennsylvania ) on lake erie 's south shore . he had a road built to the headwaters of leboeuf creek . marin constructed a second fort at fort le boeuf ( present-day waterford , pennsylvania ) , designed to guard the headwaters of leboeuf creek . as he moved south , he drove off or captured british traders , alarming both the british and the iroquois .  tanaghrisson   , a chief of the mingo , who were remnants of iroquois and other tribes who had been driven west by colonial expansion . he intensely disliked the french ( whom he accused of killing and eating his father ) . traveling to fort le boeuf , he threatened the french with military action , which marin contemptuously dismissed .	what native chief travelled to french fort and threatened marin ?	who was a chief of the mingo ?	1.0	1.0	1.0	0.0
the  united methodist church   ( umc ) is a mainline protestant methodist denomination . in the 19th century its main predecessor was a leader in evangelicalism . founded in 1968 by the union of the methodist church ( usa ) and the evangelical united brethren church , the umc traces its roots back to the revival movement of john and charles wesley in england as well as the great awakening in the united states . as such , the church 's theological orientation is decidedly wesleyan . it embraces both liturgical and evangelical elements .	what does umc stand for ?	what is the name of the mainline protestant methodist denomination ?	1.0	0.6666666666666666	0.6666666666666666	0.16666666666666666
in 1271 , kublai khan imposed the name great yuan ( chinese : 大元 ; pinyin : dà yuán ; wade–giles : ta-yüan ) , establishing the yuan dynasty . " dà yuán " ( 大元 ) is from the sentence " 大哉乾元 " ( dà zai qián yuán / " great is qián , the primal " ) in the commentaries on the classic of changes ( i ching ) section regarding qián ( 乾 ) . the counterpart in mongolian language was dai ön ulus , also rendered as ikh yuan üls or yekhe yuan ulus . in mongolian , dai ön ( great yuan ) is often used in conjunction with the " yeke mongghul ulus " ( lit . " great mongol state " ) , resulting in dai ön yeke mongghul ulus ( mongolian script : ) , meaning " great yuan great mongol state " . the yuan dynasty is also known as the " mongol dynasty " or " mongol dynasty of china " , similar to the names " manchu dynasty " or " manchu dynasty of china " for the qing dynasty . furthermore , the yuan is sometimes known as the " empire of the  great khan   " or " khanate of the  great khan   " , which particularly appeared on some yuan maps , since yuan emperors held the nominal title of  great khan   . nevertheless , both terms can also refer to the khanate within the mongol empire directly ruled by  great khan  s before the actual establishment of the yuan dynasty by kublai khan in 1271 .	what nominal title did yuan emperors have ?	what was kublai khan ' s nominal title ?	1.0	1.0	1.0	0.16666666666666666
the abc logo has evolved many times since the network 's creation in 1943. the network 's first logo , introduced in 1946 , consisted of a television screen containing the letters " t " and " v " , with a vertical abc microphone in the center , referencing the network 's roots in radio . when the abc-upt merger was finalized in 1953 , the network introduced a new logo based on  the seal of the federal communications commission   , with the letters " abc " enclosed in a circular shield surmounted by the bald eagle . in 1957 , just before the television network began its first color broadcasts , the abc logo consisted of a tiny lowercase " abc " in the center of a large lowercase letter a , a design known as the " abc circle a " .	what was abc 's logo based on after the abc-upt merger was finalized ?	what was the abc - upt merger logo based on ?	1.0	1.0	1.0	0.6666666666666666
in recent years the characteristic that has strongly correlated with health in developed countries is  income inequality   . creating an index of " health and social problems " from nine factors , authors richard wilkinson and kate pickett found health and social problems " more common in countries with bigger income inequalities " , and more common among states in the us with larger income inequalities . other studies have confirmed this relationship . the unicef index of " child well-being in rich countries " , studying 40 indicators in 22 countries , correlates with greater equality but not per capita income .	what characteristic in recent years has been strongly tied with health in developed countries ?	what is the characteristic that has strongly correlated with health in developed countries ?	1.0	1.0	1.0	1.0
for the conservatives , the main disappointment was the loss of  edinburgh pentlands   , the seat of former party leader david mcletchie , to the snp . mcletchie was elected on the lothian regional list and the conservatives suffered a net loss of five seats , with leader annabel goldie claiming that their support had held firm . nevertheless , she too announced she would step down as leader of the party . cameron congratulated the snp on their victory but vowed to campaign for the union in the independence referendum .	what was the seat of former party leader david mcletchie ?	what seat did the conservatives lose to the snp ?	1.0	1.0	1.0	0.0
engineering news-record ( enr ) is a trade magazine for the construction industry . each year , enr compiles and reports on data about the size of design and construction companies . they publish a list of the largest companies in the united states ( top-40 ) and also a list the largest global firms ( top-250 , by amount of work they are doing outside their home country ) . in  2014   , enr compiled the data in nine market segments . it was divided as transportation , petroleum , buildings , power , industrial , water , manufacturing , sewer/waste , telecom , hazardous waste plus a tenth category for other projects . in their reporting on the top 400 , they used data on transportation , sewer , hazardous waste and water to rank firms as heavy contractors .	in what year did enr compile data in nine market segments ?	in what year did enr publish the data in nine market segments ?	1.0	1.0	1.0	0.6666666666666666
harvard was formed in  1636   by vote of the great and general court of the massachusetts bay colony . it was initially called " new college " or " the college at new towne " . in 1638 , the college became home for north america 's first known printing press , carried by the ship john of london . in 1639 , the college was renamed harvard college after deceased clergyman john harvard , who was an alumnus of the university of cambridge . he had left the school £779 and his library of some 400 books . the charter creating the harvard corporation was granted in 1650 .	in what year was the school formed ?	in what year was the harvard bay colony formed ?	1.0	0.6666666666666666	0.3333333333333333	0.16666666666666666
child labour is common in kenya . most working children are active  in agriculture   . in 2006 , unicef estimated that up to 30 % of girls in the coastal areas of malindi , mombasa , kilifi , and diani were subject to prostitution . most of the prostitutes in kenya are aged 9–18 . the ministry of gender and child affairs employed 400 child protection officers in 2009. the causes of child labour include poverty , the lack of access to education and weak government institutions . kenya has ratified convention no . 81 on labour inspection in industries and convention no . 129 on labour inspection  in agriculture   .	where are most working children working ?	where are most of the most working children in kenya ?	0.6666666666666666	1.0	1.0	0.5
the revived series has received recognition from critics and the public , across various awards ceremonies . it won  five   bafta tv awards , including best drama series , the highest-profile and most prestigious british television award for which the series has ever been nominated . it was very popular at the bafta cymru awards , with 25 wins overall including best drama series ( twice ) , best screenplay/screenwriter ( thrice ) and best actor . it was also nominated for 7 saturn awards , winning the only best international series in the ceremony 's history . in 2009 , doctor who was voted the 3rd greatest show of the 2000s by channel 4 , behind top gear and the apprentice . the episode " vincent and the doctor " was shortlisted for a mind award at the 2010 mind mental health media awards for its " touching " portrayal of vincent van gogh .	how many bafta tv awards has doctor who won ?	how many bafta tv awards won the highest-profile tv awards ?	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0
since its invention in 1269 , the 'phags-pa script , a unified script for spelling  mongolian , tibetan , and chinese   languages , was preserved in the court until the end of the dynasty . most of the emperors could not master written chinese , but they could generally converse well in the language . the mongol custom of long standing quda/marriage alliance with mongol clans , the onggirat , and the ikeres , kept the imperial blood purely mongol until the reign of tugh temur , whose mother was a tangut concubine . the mongol emperors had built large palaces and pavilions , but some still continued to live as nomads at times . nevertheless , a few other yuan emperors actively sponsored cultural activities ; an example is tugh temur ( emperor wenzong ) , who wrote poetry , painted , read chinese classical texts , and ordered the compilation of books .	which languages used the phags-pa script ?	what languages did the 'phags-pa script for ?	1.0	1.0	1.0	1.0
despite periodic repression , the brotherhood has become one of the most influential movements in the islamic world , particularly in the arab world . for many years it was described as " semi-legal " and was the only opposition group in egypt able to field candidates during elections . in the egyptian parliamentary election , 2011–2012 , the political parties identified as " islamist " ( the brotherhood 's freedom and justice party , salafi al-nour party and liberal islamist al-wasat party ) won 75 % of the total seats .  mohamed morsi   , an islamist democrat of muslim brotherhood , was the first democratically elected president of egypt . he was deposed during the 2013 egyptian coup d'état .	who was the first democratically elected president of egypt ?	who was the first democratically president of egypt ?	0.5	1.0	1.0	0.8333333333333334
near tamins-reichenau the anterior rhine and the posterior rhine join and form the rhine . the river makes a distinctive turn to the north near chur . this section is nearly 86 km long , and descends from a height of 599 m to 396 m. it flows through a wide glacial alpine valley known as the  rhine valley   ( german : rheintal ) . near sargans a natural dam , only a few metres high , prevents it from flowing into the open seeztal valley and then through lake walen and lake zurich into the river aare . the alpine rhine begins in the most western part of the swiss canton of graubünden , and later forms the border between switzerland to the west and liechtenstein and later austria to the east .	what is the glacial alpine valley known as ?	what is the name of the glacial glacial alpine valley ?	0.5	1.0	1.0	1.0
the fourth yuan emperor , buyantu khan ( ayurbarwada ) , was a competent emperor . he was the first yuan emperor to actively support and adopt mainstream chinese culture after the reign of kublai , to the discontent of some mongol elite . he had been mentored by  li meng   , a confucian academic . he made many reforms , including the liquidation of the department of state affairs ( chinese : 尚書省 ) , which resulted in the execution of five of the highest-ranking officials . starting in 1313 the traditional imperial examinations were reintroduced for prospective officials , testing their knowledge on significant historical works . also , he codified much of the law , as well as publishing or translating a number of chinese books and works .	who mentored buyantu ?	who mentored the fourth yuan emperor to support chinese culture ?	1.0	0.6666666666666666	1.0	0.3333333333333333
europe 's expansion into territorial imperialism was largely focused on economic growth by collecting resources from colonies , in combination with assuming political control by military and political means . the colonization of india in the  mid-18th century   offers an example of this focus : there , the " british exploited the political weakness of the mughal state , and , while military activity was important at various times , the economic and administrative incorporation of local elites was also of crucial significance " for the establishment of control over the subcontinent 's resources , markets , and manpower . although a substantial number of colonies had been designed to provide economic profit and to ship resources to home ports in the seventeenth and eighteenth centuries , fieldhouse suggests that in the nineteenth and twentieth centuries in places such as africa and asia , this idea is not necessarily valid :	when did the colonization of india occur ?	when did the colonization of india begin ?	1.0	1.0	1.0	0.6666666666666666
the  united methodist church   is the largest denomination within the wider methodist movement , which has approximately 80 million adherents across the world . in the united states , the umc ranks as the largest mainline protestant denomination , the largest protestant church after the southern baptist convention , and the third largest christian denomination . as of 2014 , worldwide membership was about 12 million : 7.2 million in the united states , and 4.4 million in africa , asia and europe . it is a member of the world council of churches , the world methodist council , and other religious associations . in 2015 , pew research estimated that 3.6 % of the u.s population , or 9 million adult adherents , self-identify with the  united methodist church   revealing a much larger number of adherents than registered membership .	what is the largest denomination within the wider methodist movement ?	what is the largest denomination within the methodist movement ?	1.0	1.0	1.0	1.0
the rhine emerges from lake constance , flows generally westward , as the hochrhein , passes the rhine falls , and is joined by its major tributary , the river aare . the aare more than doubles the rhine 's water discharge , to an average of nearly 1,000 m3/s ( 35,000 cu ft/s ) , and provides more than a fifth of the discharge at the dutch border . the aare also contains the waters from the 4,274 m ( 14,022 ft ) summit of  finsteraarhorn   , the highest point of the rhine basin . the rhine roughly forms the german-swiss border from lake constance with the exceptions of the canton of schaffhausen and parts of the cantons of zürich and basel-stadt , until it turns north at the so-called rhine knee at basel , leaving switzerland .	what is the highest point of the rhine basin called ?	what is the highest point of the rhine basin ?	1.0	1.0	1.0	1.0
